кигуруми человек паук,,703709,5742,317644,386065,11408.5,4836,178,969,235
моющий робот пылесос,430,77182575,278620.0,36339101,40843474,1064460.5,188799.0,1650,119000,16950.0
кофемашина зерновая,256,59713280,50579.0,43812120,15901160,579928.5,8770.0,2395,162990,41703.0
кофемашина автоматическая,568,63379386,48990,52669542,10709844,1189925.5,13113,2090,379999,37048
рожковая кофеварка,606,65506706,99721.0,53623009,11883697,573302.0,38856.0,145,29990,7936.0
игровой ноутбук,606,30526711,0.0,24118613,6408098,314016.0,0.0,27999,209903,99994.5
безмешковый пылесос,660,62364598,150328,39326061,23038537,761065.0,95621,2020,58480,4410
пленка для ламинирования а4,835,40431283,83432.0,24646514,15784769,547800.0,22464.5,279,2620,739.5
грильница,835,65785373,148147.5,48352139,17433234,373582.0,94257.5,941,29761,3995.0
встраиваемая посудомоечная машина,92,20474733,2145.0,6841287,13633446,160426.0,0.0,380,49990,3256.0
беспроводной вертикальный пылесос,92,121148296,412445,52996837,68151459,2300595.5,293760,2394,38869,8355
спрей для волос 15 в 1,2348,56513678,16504.5,42479949,14033729,372909.5,9128.5,174,90000,513.5
мини печь электрическая,1246,83375715,286594.0,32964222,50411493,819010.0,232085.5,2879,19791,6729.5
несмываемый крем спрей,1214,50290570,10388.0,30423651,19866919,125684.0,8540.0,193,8722,587.0
мольберт настольный,527,15614046,56672,6869098,8744948,189772.5,37950,300,6530,1022
сварочная маска,1953,19897471,49105,11652733,8244738,75871.5,49105,256,54300,2861
встраиваемый холодильник,68,2973188,0.0,2629015,344173,0.0,0.0,267,96990,15178.0
сменные насадки для электрических зубных щеток oral-b,434,9601680,12607.0,6709806,2891874,196860.5,8380.0,135,10000,305.5
